Full_Info,Field,Code,Name
ECE 6100 Adv Comput Architechture,ECE,6100,Adv Comput Architechture
ECE 6101 Parallel & Dist Comp Arch,ECE,6101,Parallel & Dist Comp Arch
ECE 6102 Dependable Distribut Sys,ECE,6102,Dependable Distribut Sys
ECE 6110 CAD – Communication Networks,ECE,6110,CAD – Communication Networks
ECE 6120 Automata Theory ,ECE,6120,Automata Theory 
ECE 6121 Combinational Strategies,ECE,6121,Combinational Strategies
ECE 6122 Adv Prog Techniques,ECE,6122,Adv Prog Techniques
ECE 6130 Adv VLSI Systems,ECE,6130,Adv VLSI Systems
ECE 6132 Comp-aided VLSI Sys Dsgn,ECE,6132,Comp-aided VLSI Sys Dsgn
ECE 6133 Phys Design Automat-VLSI,ECE,6133,Phys Design Automat-VLSI
ECE 6140 Digital Systems Test,ECE,6140,Digital Systems Test
ECE 6200 Biomedical Applic MEMS,ECE,6200,Biomedical Applic MEMS
ECE 6229 Introduction to MEMS,ECE,6229,Introduction to MEMS
ECE 6250 Adv Digital Signal Proc,ECE,6250,Adv Digital Signal Proc
ECE 6254 Stat Machine Learning,ECE,6254,Stat Machine Learning
ECE 6255 Digit Proc-Speech Signal,ECE,6255,Digit Proc-Speech Signal
ECE 6258 Digital Image Processing,ECE,6258,Digital Image Processing
ECE 6260 Data Compression & Model,ECE,6260,Data Compression & Model
ECE 6271 Adaptive Filtering,ECE,6271,Adaptive Filtering
ECE 6272 Fund-Radar Signal Proces,ECE,6272,Fund-Radar Signal Proces
ECE 6273 Pattern Recognit-Speech,ECE,6273,Pattern Recognit-Speech
ECE 6274 Stat Natural Lang Proc,ECE,6274,Stat Natural Lang Proc
ECE 6276 DSP Hardware Sys Design,ECE,6276,DSP Hardware Sys Design
ECE 6277 DSP Software Sys Design,ECE,6277,DSP Software Sys Design
ECE 6279 Spatial Array Processing,ECE,6279,Spatial Array Processing
ECE 6280 Cryptography & Security,ECE,6280,Cryptography & Security
ECE 6282 Radar Imaging,ECE,6282,Radar Imaging
ECE 6283 Harm Analysis Sig Proc,ECE,6283,Harm Analysis Sig Proc
ECE 6320 Power Sys Ctrl & Operation,ECE,6320,Power Sys Ctrl & Operation
ECE 6321 Power System Stability,ECE,6321,Power System Stability
ECE 6322 Pwr Sys Plan & Reliability,ECE,6322,Pwr Sys Plan & Reliability
ECE 6323 Power System Protection,ECE,6323,Power System Protection
ECE 6330 Power Electronic Devices,ECE,6330,Power Electronic Devices
ECE 6331 Power Electronic Circuits,ECE,6331,Power Electronic Circuits
ECE 6332 Power Electronic CAD Lab,ECE,6332,Power Electronic CAD Lab
ECE 6335 Electric Machinery Analy,ECE,6335,Electric Machinery Analy
ECE 6336 Electric Machine Drives,ECE,6336,Electric Machine Drives
ECE 6337 Electricity Markets,ECE,6337,Electricity Markets
ECE 6350 Applied Electromagnetics,ECE,6350,Applied Electromagnetics
ECE 6360 Microwave Design,ECE,6360,Microwave Design
