Computation Perception and Robotics,Computer Graphics,Computing Systems,Human Computer Interaction,Interactive Intelligence,Machine Learning,Social Computing,Visual Analytics
Core,Core,Core,Core,Core,Core,Core,Core
CS 6505 Computability&Algorithms,CS 6491 Computer Graphics,CS 6210 Adv Operating Systems,CS 6456 Principles-UI Software,CS 6300 Software Dev Process,CS 6505 Computability&Algorithms,CS 6465 Computational Journalism,CS 7450 Inform Visualization
CS 6520 Computational Complexity,CS 6505 Computability&Algorithms,CS 6241 Compiler Design,CS 6750 Human-Computer Interact,CS 6505 Computability&Algorithms,CS 6520 Computational Complexity,CS 6470 Online Communities,Electives
CS 6550 Design& Analy-Algorithms,Electives,CS 6250 Computer Networks,Electives,CS 6601 Artificial Intelligence,CS 6550 Design& Analy-Algorithms,CS 6474 Social Computing,CS 6456 Principles-UI Software
CS 6601 Artificial Intelligence,CS 6457 Video Game Design,CS 6290 High Perform Comput Arch,CS 6010 Principles of Design,CS 7620 Case-Based Reasoning,CS 7510 Graph Algorithm,CS 7460 Collaborative Computing,CS 6465 Computational Journalism
CS 7520 Approximation Algorithms,CS 6475 Comp. Photography,CS 6300 Software Dev Process,CS 6230 High Perf Parallel Comp,CS 7637 Knowledge-Based AI,CS 7520 Approximation Algorithms,Electives,CS 6485 Visual Meth-Sci & Engr
CS 7530 Randomized Algorithms,CS 6476 Computer Vision,CS 6400 DB Sys Concepts& Design,CS 6455 User Interface Dsgn&Eval,CS 7641 Machine Learning,CS 7530 Randomized Algorithms,CS 6238 Secure Computer Systems,CS 6491 Computer Graphics
CS 7641 Machine Learning,CS 6485 Visual Meth-Sci & Engr,CS 6505 Computability&Algorithms,CS 6460 Educ Tech-Foundations,Electives,CS 7641 Machine Learning,CS 6250 Computer Networks,CS 6750 Human-Computer Interact
Electives,CS 6764 Geometric Modeling,Electives,CS 6465 Computational Journalism,CS 6440 Intro Health Informatics,Electives,CS 6456 Principles-UI Software,CS 6795 Intro-Cognitive Science
CS 6475 Comp. Photography,CS 7490 Adv Image Synthesis,CS 6035 Intro To Info Security,CS 6470 Online Communities,CS 6460 Educ Tech-Foundations,CS 7540 Spectral Algorithms,CS 6505 Computability&Algorithms,
CS 6476 Computer Vision,CS 7491 3D Complexity,CS 6235 Real-Time Systems,CS 6795 Intro-Cognitive Science,CS 6465 Computational Journalism,CS 7545 Machine Learning Theory,CS 6675 Advance Internet Comput,
CS 7499 3D Reconstruction,CS 7492 Simulation of Biology,CS 6238 Secure Computer Systems,CS 7465 Edu Tech Design and Eval,CS 7632 Game AI,CS 7616 Pattern Recognition,CS 6750 Human-Computer Interact,
CS 7630 Autonomous Robotics,CS 7496 Computer Animation,CS 6260 Applied Cryptography,CS 7467 Comp COllaborative Learning,CS 7634 AI Storytell In Vir Wrld,CS 7646 Mach Learn For Trading,CS 7210 Distributed Computing,
CS 7631 Multi-Robot Systems,CS 7497 Virtual Environments,CS 6262 Network Security,CS 7790 Cognitive Modeling.,CS 7650 Natural Language,CS 7650 Natural Language,CS 7270 Networked App & Services,
CS 7633 Human-Robot Interaction,,CS 6310 Software Arch & Design,CS 6763 Design of Environments,,,CS 7450 Inform Visualization,
CS 7636 Computational Perception,,CS 6340 Software Analysis & Test,CS 6770 Mixed Reality Design,,,CS 7467 Comp COllaborative Learning,
CS 7649 Robot Intelli: Planning,,CS 6365 Intro Enterprise Comput,CS 7450 Inform Visualization,,,,
CS 7650 Natural Language,,CS 6422 Database System Implemnt,CS 7460 Collaborative Computing,,,,
,,CS 6550 Design& Analy-Algorithms,CS 7470 Ubiquitous Computing,,,,
,,CS 6675 Advance Internet Comput,,,,,
,,CS 7210 Distributed Computing,,,,,
,,CS 7260 Internet Arch & Protocols,,,,,
,,CS 7270 Networked App & Services,,,,,
,,CS 7280 Network Science,,,,,
,,CS 7290 Adv Microarchitechture,,,,,
,,CS 7292 Reliable Secure Comparch,,,,,
