CS 6010 Principles of Design,CS,6010,Principles of Design
CS 6035 Intro To Info Security,CS,6035,Intro To Info Security
CS 6150 Computing For Good,CS,6150,Computing For Good
CS 6210 Adv Operating Systems,CS,6210,Adv Operating Systems
CS 6230 High Perf Parallel Comp,CS,6230,High Perf Parallel Comp
CS 6235 Real-Time Systems,CS,6235,Real-Time Systems
CS 6238 Secure Computer Systems,CS,6238,Secure Computer Systems
CS 6241 Compiler Design,CS,6241,Compiler Design
CS 6245 Parallelizing Compilers,CS,6245,Parallelizing Compilers
CS 6246 Object-Oriented Systems,CS,6246,Object-Oriented Systems
CS 6250 Computer Networks,CS,6250,Computer Networks
CS 6255 Network Management,CS,6255,Network Management
CS 6260 Applied Cryptography,CS,6260,Applied Cryptography
CS 6262 Network Security,CS,6262,Network Security
CS 6265 Information Security Lab,CS,6265,Information Security Lab
CS 6266 Info Security Practicum,CS,6266,Info Security Practicum
CS 6269 Formal Info Assur Model,CS,6269,Formal Info Assur Model
CS 6280 Eval Communication Nets,CS,6280,Eval Communication Nets
CS 6290 High Perform Comput Arch,CS,6290,High Perform Comput Arch
CS 6300 Software Dev Process,CS,6300,Software Dev Process
CS 6310 Software Arch & Design,CS,6310,Software Arch & Design
CS 6320 Requirements Analysis,CS,6320,Requirements Analysis
CS 6330 Software Generation&Test,CS,6330,Software Generation&Test
CS 6340 Software Analysis & Test,CS,6340,Software Analysis & Test
CS 6365 Intro Enterprise Comput,CS,6365,Intro Enterprise Comput
CS 6390 Programming Languages,CS,6390,Programming Languages
CS 6400 DB Sys Concepts& Design,CS,6400,DB Sys Concepts& Design
CS 6402 Databases and Infosec,CS,6402,Databases and Infosec
CS 6411 O-O Database Model & Sys,CS,6411,O-O Database Model & Sys
"CS 6421 Tempor,Spatial&Active DB",CS,6421,"Tempor,Spatial&Active DB"
CS 6422 Database System Implemnt,CS,6422,Database System Implemnt
CS 6430 Parallel&Distributed DB,CS,6430,Parallel&Distributed DB
CS 6440 Intro Health Informatics,CS,6440,Intro Health Informatics
